Crop Type,Variety,Soil Type,Soil pH,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Organic Matter (%),Temperature (°C),Precipitation (mm),Fertilizer Type,Fertilizer Amount (kg/ha),Irrigation Type,Irrigation Frequency,Yield (kg/ha),Quality (Grade)
Maize,D,Peaty,7,29.13,30.95,37.8,1.51,26.1,110.6,Urea,82.59,Flood,Biweekly,4798.03,D
Soybean,E,Clay,8,33.13,18.8,48.5,1.24,30.1,82.2,MOP,60.37,Manual,Biweekly,7276.6,C
Soybean,E,Silty,7.9,26.35,32.58,21.41,3.96,25.1,103.8,DAP,71.37,Manual,Weekly,2995.65,D
Wheat,B,Sandy,7.8,86.94,23.61,95.73,4.24,34.8,190.9,Organic,90.76,Sprinkler,Monthly,5524.54,C
Rice,B,Loamy,7.9,91.99,10.37,49.27,4.06,19.3,154.4,DAP,76.17,Drip,Weekly,3189.97,C
Soybean,E,Loamy,5.8,19.04,10.06,51.83,2.66,21.3,125.4,DAP,88.82,Drip,Daily,1382.23,E
Maize,B,Peaty,5.6,21.38,40.34,96.24,3.79,19.4,166.2,Organic,43.26,Drip,Biweekly,4329.48,B
Rice,C,Loamy,6.8,35.74,22.31,32.87,1.1,26.5,60.9,MOP,29.88,Sprinkler,Weekly,6854.35,B
Wheat,C,Peaty,7.3,56.96,23.52,77.31,1.52,22.3,143.3,Compost,66.78,Manual,Monthly,1330.25,C
Soybean,A,Loamy,6.6,51.64,31.76,80.71,1.74,23.2,183.3,Organic,71.3,Sprinkler,Weekly,6515.85,D
Wheat,A,Loamy,7.5,89.23,20.54,41.56,4.74,32.4,163.4,Organic,62.49,Flood,Monthly,7720.39,A
Soybean,B,Silty,6.3,61.58,27.9,26.91,1.48,30.3,167.4,Organic,57.21,Sprinkler,Weekly,7885.86,B
Maize,E,Loamy,6.9,74.08,10.46,77.09,4.71,30.8,40.2,Compost,33.23,Drip,Daily,5057.24,A
Rice,C,Sandy,5.6,44.01,43.72,10.44,1.13,17.6,116.9,Organic,82.15,Drip,Weekly,3327.92,D
Cotton,A,Clay,5.7,78.64,30.24,32.48,3.94,34.7,120.6,Urea,61.38,Flood,Biweekly,1117.19,D
Soybean,D,Silty,6.9,56.33,40.82,72.35,1.63,20,146.4,DAP,24.77,Flood,Biweekly,3201.92,B
Maize,C,Peaty,7.4,44.3,47.4,10.72,3.58,33.9,13.9,MOP,50.92,Manual,Weekly,2475.45,C
Cotton,E,Peaty,6.2,24.03,33.43,63.83,2.69,18.4,107.3,Urea,72.12,Drip,Monthly,7574.39,B
Maize,B,Peaty,7.2,85.46,26.8,44.96,4.29,16.7,85.4,DAP,35.08,Manual,Biweekly,3245.55,E
Cotton,D,Clay,6.8,20.21,41.84,48.28,4.91,20.6,135.6,Urea,84.72,Sprinkler,Monthly,6301.67,C
Wheat,B,Peaty,7.3,23.6,17.04,37.41,4.26,17.3,95.3,Urea,62.96,Manual,Weekly,4268.06,B
Maize,B,Loamy,7.2,51.91,26.43,60.58,3.87,34.4,2.8,Compost,36.12,Manual,Biweekly,4240.72,B
Soybean,C,Peaty,7.1,41.24,17.38,23.05,2.56,34,182.4,MOP,83.23,Drip,Monthly,3212.13,C
Maize,E,Silty,7.8,56.67,26.1,45.8,1.96,20.5,22.8,Compost,47.95,Drip,Daily,2254.21,A
Wheat,B,Silty,6.4,25.15,15.25,57.89,1.06,30.3,62.3,MOP,31.87,Sprinkler,Weekly,6312.66,D
Cotton,E,Clay,7.8,80.1,43.95,91.88,1.57,24.9,142.6,Urea,39.61,Manual,Biweekly,4619.35,B
Cotton,A,Peaty,5.9,14.32,20.58,73.98,2.48,19.4,142.3,MOP,93.14,Flood,Daily,7452,E
Soybean,A,Peaty,6.3,65.6,28.09,74.27,4.7,24.1,197.5,Urea,86.94,Drip,Biweekly,4717.37,D
Cotton,E,Silty,7.3,89.01,34.95,44.12,2.09,22,115.1,DAP,89.4,Sprinkler,Biweekly,5784.8,A
Maize,C,Peaty,6.1,90.61,31.65,17.97,1.76,25.4,124.5,MOP,46.08,Sprinkler,Daily,5773.1,B
Soybean,A,Loamy,6.2,24.45,12.97,39.14,2.43,27.9,48.6,Organic,47.51,Sprinkler,Weekly,7130.58,A
Rice,C,Loamy,7.3,15.56,37.02,96.73,1.23,15.7,133.5,MOP,29.35,Manual,Biweekly,4067.3,A
Soybean,D,Loamy,6.9,10.69,28.89,19.03,4.74,22.4,13.8,Organic,50.88,Drip,Weekly,4825.5,E
Rice,D,Silty,7.3,15.76,15.11,74.41,3.83,28.7,175.2,MOP,66.83,Manual,Weekly,5611.9,B
Soybean,D,Silty,7.9,37.78,24.83,51.34,1.75,21.4,116.9,Organic,76.32,Flood,Daily,5804.06,B
Wheat,B,Loamy,6.3,43.5,10.51,65.88,2.26,19.3,20,MOP,69.3,Drip,Biweekly,5117.75,A
Cotton,D,Loamy,7.4,61.01,46.56,81.99,2.25,23.8,153.5,Urea,35.44,Sprinkler,Weekly,7197.75,A
Maize,D,Clay,6.3,76.5,25.06,37.13,2.66,23.3,84.8,MOP,72.4,Drip,Biweekly,7238.71,D
Cotton,B,Silty,7.8,45.99,11.26,14.38,1.21,27.4,31.8,Compost,35.13,Flood,Daily,6431.96,A
Cotton,B,Clay,5.7,83.99,10.79,93.87,2.91,26.7,86.2,Urea,47.11,Drip,Weekly,1058.28,E
Maize,C,Silty,7,53.85,36.99,52.68,4.97,29.8,18.4,MOP,53.16,Sprinkler,Monthly,4561.4,D
Soybean,D,Loamy,5.8,90.29,21.83,56.43,4.02,29.6,97.6,MOP,51.29,Manual,Monthly,5940.38,E
Rice,D,Sandy,7.6,53.96,16.3,49.55,2.26,34.7,31.6,Urea,91.77,Drip,Daily,6333.75,D
Maize,B,Silty,6.9,94.58,25.47,90.73,1.88,27.2,137,Organic,54.08,Flood,Biweekly,2503.45,C
Rice,E,Loamy,6.4,11.67,22.84,76.29,1.14,32.8,32.3,Organic,47.94,Manual,Monthly,4108.37,E
Soybean,D,Silty,6.4,31.94,38.01,87.54,3.32,30.3,146.1,Organic,42.3,Sprinkler,Weekly,4047.83,C
Maize,E,Silty,6.4,93.95,38.89,29.54,2.15,33.4,181.2,Compost,41.59,Sprinkler,Daily,4021.65,E
Cotton,E,Silty,6,94.16,20.84,70.34,2.32,22.2,121.1,Urea,22.23,Sprinkler,Weekly,2286.17,D
Wheat,A,Sandy,7.8,28.06,42.63,66.41,1.63,30.6,27.1,Urea,76.24,Sprinkler,Monthly,6005.02,B
Maize,B,Sandy,5.7,69.13,13.2,57,1.6,29.7,22.8,DAP,35.41,Drip,Daily,4062.86,D
Cotton,E,Sandy,6.3,19.96,35.34,64.58,1.66,31.2,150.8,Urea,35.2,Sprinkler,Biweekly,5402.95,E
Cotton,D,Loamy,7.5,29.66,8.91,85.49,1.08,29.3,83.6,Compost,53.83,Sprinkler,Monthly,1599.72,B
Rice,C,Clay,7.7,12.76,28.55,48.7,2.88,26,17.1,Organic,24.34,Sprinkler,Biweekly,6901.57,A
Maize,D,Loamy,7.4,31.51,44.97,28.35,4.05,29.3,199.5,Compost,25.33,Flood,Weekly,7362.76,B
Wheat,E,Silty,5.6,44.85,21.04,44.07,2.12,19.8,99.2,Urea,83.62,Sprinkler,Biweekly,2495.63,C
Maize,C,Sandy,7.8,38.81,13.09,32.36,2.83,24.4,159.3,Urea,95.71,Manual,Biweekly,5705.76,B
Soybean,E,Loamy,6.6,76.58,18.76,54.8,1.34,21.8,101.5,DAP,60.5,Manual,Daily,5677.06,A
Soybean,B,Sandy,6.8,86.86,23.1,47.54,3.56,21.5,163.5,Organic,94.53,Flood,Biweekly,4376.26,A
Rice,E,Clay,6.2,26.96,23.56,43.26,4.86,31.6,2,Urea,24.54,Drip,Biweekly,2334.99,C
Soybean,E,Loamy,6.5,80.39,7.98,59.47,4.09,17.5,38.5,DAP,42.69,Manual,Weekly,2321.4,A
Wheat,D,Peaty,6.8,32.84,19.49,96.25,1.61,16.4,64,Organic,46.31,Flood,Monthly,3636.16,C
Rice,A,Silty,6.1,18.46,40.49,48.77,4.4,29,87.9,Urea,73.11,Sprinkler,Daily,1141.33,A
Cotton,A,Loamy,7.7,96.25,42.04,26.34,1.33,17.9,58,Organic,22.66,Drip,Biweekly,2109.88,E
Soybean,E,Peaty,7.5,87.83,7.24,54.77,1.65,15.8,28,Organic,43.77,Manual,Biweekly,4612.59,A
Soybean,D,Clay,6.6,51.43,6.09,59.3,1.12,33.5,172.9,DAP,91.81,Flood,Monthly,1741.25,C
Wheat,A,Loamy,6.9,69.2,49.1,93.9,1.39,26.1,66,MOP,24.41,Drip,Weekly,2925.85,A
Soybean,B,Loamy,8,96.16,5.43,19.1,1.84,20.8,45.5,Urea,27.74,Manual,Biweekly,7480.69,C
Cotton,C,Loamy,6.9,63.71,13.79,52.74,1.39,32.1,173.4,Organic,52.34,Manual,Monthly,1704.57,C
Maize,A,Peaty,5.9,10.49,8.74,83.38,3.97,28.9,86.2,Compost,71.39,Manual,Daily,2205.85,C
Wheat,E,Sandy,5.7,64.23,6.54,64.61,3.63,28.3,41.2,MOP,22.33,Sprinkler,Weekly,7761.58,A
Maize,B,Sandy,7.8,59.76,28.94,56.32,3.8,30.2,56.3,MOP,61.36,Drip,Weekly,4810.3,E
Cotton,B,Silty,5.6,84.64,11.25,28.87,3.31,17.6,107.6,DAP,86.6,Drip,Daily,7116.45,D
Maize,A,Peaty,6.2,62.6,35.89,26.92,2.36,21.5,140.6,Compost,55.31,Sprinkler,Daily,5899.73,D
Soybean,A,Clay,5.9,32.39,40.09,14.33,1.04,27.5,63.9,Urea,27.56,Flood,Biweekly,3421.5,D
Rice,D,Clay,6.2,31.62,6.71,46.08,3.03,31.7,44,Compost,82.48,Sprinkler,Daily,2922,A
Cotton,E,Sandy,7,67.46,13.3,63.19,1.94,15.9,91.5,Urea,58.19,Manual,Biweekly,1966.05,A
Maize,A,Peaty,6.8,21.15,21.74,62.38,1.93,25.9,37.1,Compost,85.63,Manual,Weekly,3209.95,C
Wheat,A,Sandy,7.5,64.47,26.91,80.95,3.53,31.3,74.5,Compost,21.05,Manual,Daily,6556.64,E
Rice,B,Loamy,7.2,13.74,13.07,73.93,2.45,22.5,116.3,Compost,52.75,Manual,Weekly,4175.64,D
Soybean,B,Loamy,6.2,47.31,7.38,10.71,4.28,30.1,79.3,MOP,93.3,Manual,Monthly,1408.64,D
Rice,E,Silty,6,97.46,11.19,89.93,4,27.3,27.6,Organic,20.11,Drip,Monthly,5580.1,D
Maize,A,Loamy,7.1,79.85,30.8,79.93,1.04,25,91.7,Organic,22.11,Sprinkler,Daily,5134.83,E
Wheat,D,Clay,7.9,82.5,36.11,53.93,3.31,28.1,164.2,Organic,68.94,Manual,Monthly,7268.15,A
Rice,E,Clay,6.3,93.04,36.51,24.57,3.67,17,39.6,Organic,89.46,Drip,Biweekly,7351.05,A
Soybean,A,Loamy,6.6,62.88,45.73,13.94,4.76,33.4,113.1,Compost,49.01,Drip,Biweekly,2776.9,B
Maize,E,Sandy,7.1,28.73,46.93,79.12,3.53,33.3,35.2,DAP,42.21,Sprinkler,Monthly,7037.6,A
Wheat,D,Peaty,6.3,99.31,30.2,55.83,4.49,27.3,186.9,Organic,27.57,Drip,Daily,5041.08,D
Wheat,E,Clay,7.7,57.4,48.87,16.95,1.89,19.6,82.8,MOP,88.03,Flood,Daily,3149.36,A
Cotton,A,Sandy,6.3,67.33,47.02,11.45,2.9,18.8,37,Compost,24.63,Flood,Daily,1136.76,D
Wheat,E,Peaty,7.7,85.69,8.97,29.58,1.24,15.8,56.3,DAP,63.64,Drip,Biweekly,4696.69,E
Rice,B,Clay,7.2,58.47,46.43,80.19,4.89,22.7,28.7,Organic,44.86,Flood,Monthly,3432.89,D
Rice,C,Clay,6.5,46.65,47.04,69.07,2.87,24.9,47.4,Urea,89.58,Flood,Weekly,4807.36,E
Maize,A,Sandy,6.8,37.32,7.7,59.41,4.27,23.4,164.6,Urea,88.36,Sprinkler,Monthly,4333.74,C
Rice,B,Loamy,7.3,21.12,16,44.22,1.71,31.8,84.7,MOP,47.38,Manual,Biweekly,7116.08,B
Cotton,C,Sandy,7.7,99.94,47.72,62.11,4.73,33.4,57.6,DAP,46.31,Manual,Monthly,7405.16,A
Wheat,B,Sandy,7.5,66.11,18.08,65.09,1.54,15.5,155.8,Compost,70.03,Drip,Biweekly,5279.18,D
Wheat,D,Loamy,6.7,79.49,37.38,32.13,2.3,19.1,45.9,Organic,68.16,Sprinkler,Monthly,1762.42,A
Maize,D,Sandy,6.3,93.59,43.17,51.08,2.37,32.6,50.2,Organic,48.36,Drip,Daily,3740.76,A
Rice,D,Sandy,5.7,22.68,33.45,16.47,3.64,23.3,17.6,Organic,78.7,Sprinkler,Daily,6681.21,A
Soybean,A,Silty,6.9,14.7,13.55,62.83,2.32,24.2,22.2,Compost,44.98,Flood,Biweekly,6892.8,C
Cotton,E,Clay,6.1,39.73,35.28,61.49,1.07,28.6,111.6,Compost,75.11,Manual,Biweekly,1434.06,D
Wheat,B,Loamy,5.6,22.77,46.88,15.2,1.47,17.1,4.4,DAP,23.23,Drip,Monthly,7817.91,C
Maize,B,Silty,5.8,39.74,33.62,12.12,4.39,15.6,179.2,DAP,70.5,Manual,Monthly,4340.51,B
Wheat,D,Loamy,5.9,18.11,7.08,70.24,4.32,28.2,54.7,Urea,74.62,Flood,Monthly,6738.76,C
Maize,D,Silty,6.2,39.84,37.55,13.11,1.46,17.4,128.1,DAP,53.38,Manual,Monthly,5420.21,B
Soybean,A,Peaty,7.7,80.49,47.37,69.05,2.72,29.6,73.2,DAP,44.09,Manual,Weekly,6964.42,C
Maize,B,Sandy,6.2,38.76,31.99,99.59,4.7,29.1,157.9,MOP,48.44,Manual,Weekly,6555.24,D
Rice,B,Silty,7,87.79,24.07,46.74,3.14,21.9,69.8,Urea,88.49,Flood,Biweekly,6827.02,E
Soybean,D,Clay,7.3,44.81,23.41,47.68,3.1,21.4,36,Compost,48.07,Sprinkler,Daily,6757.11,E
Maize,D,Silty,7.4,34.58,18.7,74.36,1.13,27.9,97.6,Urea,74.79,Drip,Weekly,1861.97,E
Cotton,D,Loamy,7.2,82.6,21.33,28.54,4.93,30.5,46.6,Compost,48.13,Flood,Weekly,7425.45,D
Rice,E,Loamy,5.9,51.56,37.89,37.37,2.47,23.8,22,Organic,61.93,Drip,Daily,2465.47,B
Soybean,B,Clay,5.8,95.53,32.6,67.87,4.73,31.6,14,MOP,88.19,Flood,Weekly,3828.04,A
Cotton,D,Loamy,7.5,61.79,41.12,15.03,3.3,22.9,89.4,MOP,95.56,Manual,Daily,5908.4,A
Rice,D,Loamy,6.7,15.22,32.93,34.51,1.35,26.4,103.1,Organic,67.2,Flood,Biweekly,6771.53,C
Soybean,A,Sandy,5.6,19.34,5.9,59.54,1.56,28.3,39.8,Compost,32.22,Manual,Biweekly,3222.92,E
Cotton,B,Loamy,7.8,69.51,5.38,84.05,1.36,19.4,22.1,Compost,42.96,Drip,Monthly,4555.13,B
Maize,A,Peaty,7.9,95.11,45.89,73.45,4.42,28.8,120.3,DAP,21.59,Flood,Weekly,5296.67,D
Wheat,E,Clay,6.9,63.33,45.15,87.37,1.48,20.6,77.7,Compost,56.65,Manual,Monthly,5912.44,D
Rice,E,Loamy,7.5,89.13,22.69,70.11,2.25,32,125.7,Organic,27.48,Manual,Biweekly,7252.42,A
Rice,B,Peaty,6.7,28.11,17.12,84.47,3.58,29.4,97.5,Compost,44.18,Flood,Monthly,2178.95,E
Wheat,A,Clay,5.5,94.6,35.41,16.13,4.99,20.2,88.8,DAP,69.01,Drip,Monthly,4244.9,E
Cotton,C,Peaty,5.9,99.4,43.27,76.26,2.79,20,181.8,Urea,77.8,Manual,Daily,6541.34,C
Maize,B,Peaty,7.6,57.92,33.5,49.26,4.61,28,59.4,DAP,74.65,Manual,Monthly,2816.75,B
Rice,E,Loamy,7.4,82.09,42.61,89.71,1.54,21.2,147,Compost,95.11,Flood,Monthly,7668.5,C
Soybean,B,Peaty,7.3,48.03,48.49,63.88,1.95,26.6,138.3,Urea,31.68,Drip,Monthly,4809.13,A
Soybean,C,Loamy,7.9,88.57,48.49,98.02,1.69,21.4,115.6,Organic,49.24,Sprinkler,Weekly,3138.1,A
Wheat,C,Silty,6.4,87.57,10.82,41.34,4.34,20.2,165.3,MOP,31.28,Flood,Monthly,4524.37,A
Soybean,C,Silty,7.3,19.54,36.46,90.14,4.28,17.7,36,DAP,81.68,Manual,Weekly,2311.48,A
Rice,D,Loamy,7.6,77.23,26.96,76.12,2.4,20.9,80.8,Urea,54.2,Manual,Biweekly,5547.69,B
Cotton,B,Clay,7,47.61,17.02,57.31,2.78,19.8,18,DAP,64.66,Manual,Daily,5629.6,A
Cotton,B,Clay,6.7,60.01,6.32,56.54,2.16,18.7,115.6,Compost,87.09,Flood,Monthly,1575.04,A
Rice,C,Loamy,6.3,22.32,37.32,18.73,4.43,31.5,32.5,Organic,55.87,Drip,Weekly,3410.32,D
Wheat,C,Peaty,5.5,37.02,16.86,97.98,1.38,22.4,132.2,Compost,30.96,Sprinkler,Daily,3201.11,C
Soybean,A,Sandy,7.9,95.8,47.08,61.61,3.83,24.4,153.5,Organic,48.7,Manual,Monthly,3577.24,B
Wheat,D,Clay,5.8,37.37,10.45,12.85,1.75,19.3,2.4,Compost,67.94,Flood,Monthly,7150.06,E
Maize,E,Sandy,7.3,67.93,6.62,64.72,3.36,32.6,103.4,Compost,80.55,Manual,Biweekly,1820.87,A
Wheat,C,Silty,7.7,22.9,31.08,85.65,2.85,24.4,22.1,MOP,89.69,Manual,Monthly,5688.58,B
Rice,E,Sandy,5.7,19.8,25.05,21.25,4.71,33.2,17.6,Compost,91.82,Manual,Daily,2926.32,D
Rice,A,Loamy,5.9,66.62,11.9,43.35,3.76,16.1,147.8,Urea,64.54,Flood,Daily,5192.3,D
Wheat,A,Sandy,7,65.99,18.68,27.76,2.18,18.4,86.7,DAP,70.73,Sprinkler,Weekly,2265.92,C
Wheat,C,Loamy,5.8,92.7,13.86,55.75,4.6,20.4,165.9,MOP,78.42,Sprinkler,Daily,5800.03,A
Cotton,C,Sandy,6.2,33.26,40.03,85.07,3.19,26.4,125.7,DAP,74.96,Sprinkler,Daily,2701.59,A
Soybean,A,Sandy,6,65.12,29.85,58.82,2.55,24.1,97.2,DAP,33.98,Drip,Monthly,1137.54,D
Cotton,B,Clay,5.7,91.98,20.39,41.68,3.05,29.1,162.2,MOP,58.13,Flood,Daily,3651.7,D
Wheat,D,Silty,7.2,33.61,20.58,54.12,3.16,26.8,192.6,DAP,38.05,Manual,Daily,6218.86,B
Wheat,C,Silty,7.6,79.62,25.7,11.55,1.34,16.2,88.3,Compost,69.48,Manual,Biweekly,5762.54,A
Rice,E,Sandy,6.7,86.86,39.64,83.86,4.53,18.4,37.7,Compost,54.95,Drip,Weekly,4763.68,E
Soybean,A,Loamy,7.7,25.1,12.15,98.47,4.61,30.9,131.9,Urea,93.28,Drip,Daily,2975.5,D
Soybean,C,Loamy,7.5,40.66,23.12,11.48,1.15,22.3,132.4,Organic,72.77,Drip,Biweekly,6404.15,A
Rice,B,Sandy,6.1,28.16,47.71,63.34,3.56,24.6,171.4,DAP,30.93,Sprinkler,Biweekly,6205.59,E
Rice,C,Clay,6.4,55.98,37.68,33.49,4.72,25.5,197.3,Organic,94.08,Flood,Biweekly,2415.53,C
Cotton,D,Peaty,6.8,15.37,9.21,47.41,1.47,29,152.7,Organic,45.78,Manual,Daily,4681.15,D
Soybean,C,Peaty,7.2,22.62,25.35,88.76,2.19,26.3,126.4,Organic,30.21,Manual,Weekly,7107.46,D
Cotton,A,Peaty,5.7,63.42,20.03,24.19,1.57,34.7,154.6,Compost,77.87,Drip,Biweekly,7113.95,D
Wheat,E,Loamy,7.6,34.35,5.54,42.87,3.06,16,139.1,Urea,94.26,Manual,Daily,2175.11,D
Wheat,D,Loamy,7.3,78.04,37.22,71.04,2.47,27.7,61,Urea,38.77,Drip,Monthly,2613.59,A
Rice,C,Sandy,6.6,71.15,32.19,24.12,3.33,34.7,32,Organic,21.57,Sprinkler,Monthly,3773.05,E
Cotton,C,Sandy,8,36.4,41.85,42.74,3.58,29.1,120.6,Organic,60.37,Drip,Weekly,7038.57,B
Wheat,D,Clay,5.9,22.46,18.53,20.64,3.6,18.2,57.5,DAP,59.88,Drip,Weekly,2459.94,A
Soybean,E,Sandy,5.5,92.94,12.43,71.98,4.63,26.9,157.1,Compost,59.75,Sprinkler,Daily,6010.09,D
Rice,D,Clay,6.8,53.84,6.45,85.32,3.21,20.5,92.1,Compost,95.57,Flood,Weekly,1620.76,D
Wheat,E,Clay,6.5,92.8,44.61,99.59,4.36,25.5,122,Urea,88.4,Manual,Monthly,7219.92,A
Maize,B,Clay,7.2,43.67,29.77,69.16,3.08,22.5,1.4,Urea,58.85,Drip,Weekly,1247.64,C
Rice,C,Clay,6.8,92.92,36.65,38.21,2.92,29.4,188.4,DAP,50.99,Manual,Biweekly,3357.76,D
Cotton,B,Silty,6.7,21.06,49.63,20.26,1.84,23.8,4.2,MOP,83.43,Manual,Daily,1655.52,E
Soybean,A,Peaty,6.3,71.47,6.7,88.45,2.39,27.2,107.4,Compost,39.45,Manual,Monthly,1790.13,B
Wheat,D,Loamy,7.4,67.82,39.2,16.93,1.48,22.4,65.5,Compost,77.49,Flood,Monthly,3966.94,C
Cotton,E,Loamy,7.1,85.83,13.6,49.55,2.76,34.2,64,Compost,32.58,Manual,Biweekly,1134.19,C
Cotton,E,Sandy,7.8,17.26,33.42,35.96,1.18,34,181.7,Compost,77.08,Manual,Weekly,7530.41,E
Soybean,C,Peaty,8,45.43,38.26,11.51,2.6,33.7,94.1,Urea,51.43,Drip,Biweekly,4058.56,D
Soybean,B,Sandy,7.6,99.15,33.01,33.11,4.22,33.4,170.4,DAP,40.03,Sprinkler,Biweekly,4652.4,B
Cotton,C,Peaty,6.6,96.29,24.27,77.45,3.16,23.8,38.5,Organic,48.44,Flood,Biweekly,6730.24,E
Wheat,D,Clay,7.6,53.92,39.27,13.73,3.31,34.1,108.8,MOP,45.01,Drip,Daily,3785.81,B
Cotton,C,Sandy,7.5,16.74,18.37,26.92,1.08,32.7,146.6,DAP,33.7,Flood,Daily,6747.92,E
Cotton,E,Silty,6,65.51,15.39,23.01,4.08,22.3,102.3,Urea,95.08,Drip,Daily,5788.42,A
Wheat,B,Silty,6.1,58.68,31.56,23.42,1.13,19.4,141.3,Compost,41.93,Manual,Biweekly,5611.09,B
Cotton,E,Sandy,7.7,74.85,22.07,47.11,2.67,16.6,58.4,Compost,41.34,Flood,Weekly,1912.67,E
Cotton,C,Peaty,6.5,73.7,27.76,28.53,3.26,18.7,186.1,DAP,52.55,Drip,Daily,6164.89,B
